$ DENI 2011 2017-11-13 by 1_CWMS_weather_station_read_plot_v3.py<6 hours of missing data was deleted, >=6 hours missing data filled with LWS_2011_2015_met.csv,,,,,
664.833330,4.63,2.17,1.38,0.43,0,746.89
664.875000,4.26,2.3,1.77,0.1,2,746.49
664.916670,3.52,1.83,1.78,0.35,0,746.99
664.958330,3.91,2.03,1.58,0.32,0,746.99
665.000000,3,1.48,1.66,0.59,0,746.49
665.041670,2.3,0.97,1.43,0.39,0,746.09
665.083330,2.25,0.83,1.6,0.34,0,746.29
665.125000,3.7,1.72,1.31,0.86,0,745.39
665.166670,3.98,0.97,0.8,0.96,0,745.29
665.208330,3.86,0.43,1.55,1.07,0,744.99
665.250000,3.34,0.77,1.21,0.8,0,744.59
665.291670,2.97,0.99,1.31,0.59,2,744.39
665.333330,3.71,1.47,1.29,0.87,7.5,743.89
665.375000,4.7,1.6,2.24,2.5,10,743.29
665.416670,5.07,1.35,1.84,2.17,10,742.79
665.458330,5.77,1.8,1.94,2.47,10,742.19
665.500000,5.77,1.86,2.47,2.86,10,741.69
665.541670,4.7,2.28,1.57,1.13,10,741.29
665.583330,4.01,2.7,1.3,5.8,10,741.19
665.625000,3.55,2.77,0.72,4.91,10,740.59
665.666670,3.12,1.99,1.16,5.56,10,740.19
665.708330,3.15,2.09,2.03,6.22,10,740.19
665.750000,3.23,2.45,1.04,0.31,10,739.99
665.791670,3.39,2.31,1.47,0.16,10,739.99
665.833330,3.37,2.41,1.3,0.27,10,739.79
665.875000,3.46,2.53,1.42,0.38,10,739.49
665.916670,3.59,2.65,1.44,0.25,10,739.19
665.958330,3.62,2.58,1.51,0.28,10,738.99
666.000000,3.72,2.9,1.19,0.34,10,738.49
666.041670,3.74,2.78,1.49,0.27,10,738.49
666.083330,3.8,2.8,1.23,0.14,10,738.69
666.125000,3.61,2.67,1.67,0.36,10,738.49
666.166670,3.6,2.66,1.54,0.37,10,738.29
666.208330,3.71,2.6,2.05,0.17,4.4,738.39
666.250000,3.86,2.68,1.39,0.26,10,738.29
666.291670,3.83,2.83,1.27,0.62,7.5,738.39
666.333330,4.02,3.01,1.11,0.69,2,738.49
666.375000,4.15,3.15,1.47,0.6,10,738.39
666.416670,4.58,3.18,0.91,0.54,10,738.29
666.458330,5.04,3.46,0.86,0.94,10,738.09
666.500000,5.51,3.63,0.56,0.91,10,737.79
666.541670,5.53,3.95,1.06,2.09,10,737.19
666.583330,5.46,4.31,0.84,1.64,10,736.99
666.625000,5.43,4.41,1.27,1.48,10,736.89
666.666670,5.48,4.41,1.47,1.22,10,736.59
666.708330,5.53,4.65,1.05,1.18,10,736.19
666.750000,5.53,4.85,1.1,1.85,10,735.99
666.791670,5.63,4.94,2.26,2.48,10,735.59
666.833330,5.65,4.61,1.85,1.59,10,735.19
666.875000,5.4,4.5,1.1,1.27,10,734.89
666.916670,5.41,4.6,0.53,1.67,10,734.59
666.958330,5.26,4.68,1.03,1.15,10,733.79
667.000000,5.6,5.01,0.48,1.58,10,733.69
667.041670,5.55,4.92,0.64,1.45,10,733.69
667.083330,5.57,4.92,0.66,1.25,4.4,733.59
667.125000,5.6,4.93,0.69,1.26,10,733.49
667.166670,5.72,4.91,0.76,0.96,10,733.79
667.208330,5.73,4.97,0.81,1.1,10,733.89
667.250000,5.78,4.85,0.96,1.39,10,733.89
667.291670,5.83,4.83,0.82,1.03,10,734.19
667.333330,6.12,5.06,1.14,1.46,10,734.49
667.375000,6.41,5.07,1.32,1.59,10,734.79
667.416670,6.67,5.55,1.39,1.25,10,734.79
667.458330,7.23,5.91,1.75,2.05,10,734.59
667.500000,7.35,6.01,1.56,1.77,10,734.89
667.541670,7.46,6.41,1.98,1.92,10,734.89
667.583330,7.82,6.8,1.46,1.44,10,734.69
667.625000,8.08,7.2,1.49,1.78,10,734.59
667.666670,8.05,7.42,0.88,1.54,10,734.29
667.708330,8.17,7.4,0.93,0.92,10,734.39
667.750000,8.23,7.57,0.96,1.6,10,734.49
667.791670,8.16,7.6,0.85,0.8,10,734.49
667.833330,8.26,7.66,1.2,1.55,10,734.19
667.875000,8.28,7.72,1.4,1.03,10,733.79
667.916670,8.38,7.91,1.06,1.47,10,733.59
667.958330,8.56,7.92,1.35,1.37,10,733.29
668.000000,8.62,8.03,0.76,1.57,10,733.19
668.041670,8.61,8.13,0.5,5.2,10,732.89
668.083330,8.67,8.2,0.97,0.85,10,732.89
668.125000,8.68,8.26,0.43,0.62,10,732.49
668.166670,8.7,8.28,0.75,0.43,10,732.59
668.208330,8.81,8.4,0.81,0.4,10,732.69
668.250000,8.92,8.48,0.89,0.41,10,733.39
668.291670,9.28,8.86,0.39,0.46,10,733.79
668.333330,9.67,9.25,0.67,0.69,10,733.99
668.375000,10.39,9.94,0.48,1.19,4.4,734.09
668.416670,10.85,10.28,0.76,4.29,7.5,734.49
668.458330,12.42,11.37,1.22,3.78,7.5,734.39
668.500000,13.06,11.98,0.66,0.16,4.4,734.49
668.541670,14.46,12.7,0.86,3.97,4.4,734.49
668.583330,14.97,12.92,0.95,1.88,7.5,734.59
668.625000,14.85,13.4,1.79,0.64,7.5,734.99
668.666670,13.88,12.55,1.55,1.17,7.5,735.59
668.708330,12.07,11.11,1.48,0.45,0,735.99
668.750000,11.33,10.63,0.87,0.41,4.4,736.59
668.791670,11.38,10.65,0.8,0.45,0,736.79
668.833330,11.27,10.61,0.76,0.31,0,737.09
668.875000,11.12,10.33,0.51,0.26,4.4,737.29
668.916670,11.13,10.53,0.59,0.83,0,737.39
668.958330,10.84,10.1,0.96,0.68,0,737.39
669.000000,10.81,10.02,1.02,0.43,7.5,737.19
669.041670,10.62,9.57,1.02,0.78,4.4,737.29
669.083330,10.27,9.06,1.26,0.33,7.5,737.39
669.125000,10.01,8.98,1.34,0.53,0,736.79
669.166670,9.71,8.52,1.1,0.44,2,736.89
669.208330,9.82,8.32,2.15,0.18,10,736.29
669.250000,9.36,8.36,1.2,0.35,10,735.89
669.291670,9.42,8.58,1.55,0.93,10,735.69
669.333330,10.39,8.96,0.91,3.91,10,735.69
669.375000,10.38,9.17,0.28,1.1,10,735.89
669.416670,10.88,8.96,1.12,2.28,0,735.79
669.458330,11.73,9.12,1.27,2.64,10,735.29
669.500000,12.2,9.27,1.24,2.74,10,734.69
669.541670,12.43,9.45,1.99,2.54,10,734.19
669.583330,12.88,9.7,1.77,2.54,10,733.89
669.625000,12.99,10.15,1.49,2.21,10,733.49
669.666670,12.13,10.53,0.96,1.1,7.5,733.49
669.708330,11.57,10.66,1.2,0.66,10,733.69
669.750000,11.4,10.56,1.54,1.37,0,733.69
669.791670,11.11,10.45,0.94,0.9,0,733.79
669.833330,11.31,10.42,1.28,0.7,0,733.89
669.875000,11.05,10.27,1.65,0.41,2,733.39
669.916670,11,10.25,1.55,0.67,0,733.39
669.958330,11.07,10.27,1.3,0.3,0,733.39
670.000000,11,10.14,1.42,0.61,0,733.09
670.041670,10.75,9.97,1.47,0.52,0,732.89
670.083330,10.36,9.67,1.38,0.54,0,732.59
670.125000,9.8,9.08,1.82,0.58,0,732.59
670.166670,10.31,9.47,1.74,0.42,0,732.49
670.208330,10.46,9.41,2.01,0.61,0,732.59
670.250000,10.31,9.39,1.81,0.3,0,732.39
670.291670,10.08,9.01,1.82,0.66,0,732.09
670.333330,10.45,9.15,1.9,0.54,0,732.09
670.375000,11.11,9.58,1.15,0.7,0,732.09
670.416670,13.25,9.81,3.12,2.25,0,731.69
670.458330,13.16,9.63,2,1.91,0,731.19
670.500000,15.42,10.27,1.64,2.51,0,730.29
670.541670,15.5,10.57,2.44,2.5,0,729.79
670.583330,15.88,10.63,1.48,2.5,0,729.19
670.625000,14.9,11.85,0.78,0.75,0,728.89
670.666670,13.74,11.45,1.2,0.37,0,728.69
670.708330,12.63,11.01,1.3,0.33,0,728.69
670.750000,12.1,10.58,1.16,0.36,0,728.59
670.791670,11.67,10.51,1.04,0.66,0,728.69
670.833330,11.58,10.66,1.13,1.89,10,729.49
670.875000,11.55,10.64,1,0.64,10,730.49
670.916670,11.82,9.85,0.97,0.67,10,730.69
670.958330,12.39,9.35,2.5,0.1,10,731.19
671.000000,11.03,9.91,1.11,0.91,7.5,731.59
671.041670,10.65,9.91,1.14,1.35,10,731.29
671.083330,10.33,9.53,0.93,0.37,10,731.19
671.125000,10.06,9.26,0.91,0.22,0,731.19
671.166670,10.08,9.33,1.44,0.4,7.5,731.39
671.208330,9.67,8.75,1.58,0.45,7.5,731.49
671.250000,9.72,8.65,1.64,0.31,7.5,731.69
671.291670,9.5,8.29,2.02,0.24,0,732.09
671.333330,9.67,8.3,1.22,0.13,4.4,732.69
671.375000,10.31,8.72,0.81,4.32,2,732.79
671.416670,10.92,8.92,1.11,4.29,10,732.99
671.458330,11.45,9.03,2.53,4.47,10,732.99
671.500000,11.34,9.16,1.21,5.15,4.4,732.89
671.541670,12.38,8.84,1.14,2,10,732.59
671.583330,13.11,7.21,0.82,2.25,10,732.49
671.625000,11.83,8.13,0.86,0.91,10,733.69
671.666670,8.73,7.97,1.92,0.67,10,734.19
671.708330,8.73,7.95,1.15,1.04,10,734.59
671.750000,8.72,7.96,1.48,0.93,10,734.99
671.791670,8.58,7.97,0.88,0.74,10,735.29
671.833330,8.75,8.22,0.62,0.49,10,735.79
671.875000,8.72,8.21,0.83,0.61,10,736.39
671.916670,8.66,8.13,1.15,0.62,10,736.79
671.958330,8.77,8.17,1.16,0.8,10,737.09
672.000000,8.83,8.25,1.08,0.54,10,737.39
672.041670,8.92,8.31,0.87,0.74,10,737.69
672.083330,9.01,8.32,0.91,0.52,10,737.69
672.125000,8.99,8.37,0.84,0.49,7.5,737.79
672.166670,8.99,8.43,0.97,0.66,7.5,737.89
672.208330,8.97,8.38,0.9,0.8,4.75,738.29
672.250000,8.96,8.43,0.77,0.62,2,738.49
672.291670,9.15,8.3,0.89,0.9,7.5,738.69
672.333330,9.6,8.46,0.73,1.25,8.75,738.99
672.375000,10.43,8.85,1.53,2.54,10,738.99
672.416670,11.21,9.01,1.71,2.68,4.4,738.79
672.458330,12.3,9.05,2.12,2.81,0,738.39
672.500000,13.21,9.39,1.95,2.75,0,737.89
672.541670,13.38,9.55,2.04,2.59,0,737.49
672.583330,14.36,9.92,1.87,2.89,0,736.99
672.625000,13.47,9.38,1.8,2.44,0,736.79
672.666670,12.18,9.97,1,0.62,0,736.59
672.708330,10.48,9.33,1.31,0.42,0,736.89
672.750000,9.25,8.22,1.57,0.52,0,736.99
672.791670,8.65,7.66,1.31,0.39,0,736.99
672.833330,7.55,6.78,1.62,0.53,0,737.29
672.875000,7.72,6.78,1.68,0.52,0,737.59
672.916670,8.24,7.3,1.85,0.62,10,737.49
672.958330,8.06,7.12,1.55,0.52,10,737.39
673.000000,7.81,6.8,1.76,0.72,4.4,737.69
673.041670,7.86,6.63,1.6,0.39,10,737.69
673.083330,7.62,6.16,1.94,0.36,10,737.79
673.125000,7.6,6.55,1.8,0.5,10,737.79
673.166670,7.36,5.96,2.09,0.51,10,737.89
673.208330,7.47,6.02,1.84,0.45,10,738.09
673.250000,7.46,6,1.46,0.59,10,738.09
673.291670,7.52,6.2,1.38,0.43,10,738.39
673.333330,8.29,6.48,0.83,0.67,10,738.69
673.375000,9.06,6.22,1.36,2.1,10,738.49
673.416670,9.86,6.51,0.86,4.78,10,738.79
673.458330,9.87,6.75,1.73,2.08,10,738.79
673.500000,9.66,7.5,1.95,2.3,7.5,738.79
673.541670,10.13,7.63,0.19,2.41,10,738.49
673.583330,10.14,7.63,1.31,2.04,10,738.39
673.625000,10.17,7.8,1.1,1.53,10,738.79
673.666670,10.17,7.8,0.89,1.72,10,739.09
673.708330,9.81,8.06,1.2,1.57,2,739.19
673.750000,9.48,8.29,1.08,1.21,0,739.99
673.791670,9.37,8.27,1.16,0.74,0,739.89
673.833330,8.92,8.15,1.03,0.45,0,739.89
673.875000,9.05,8.15,1.24,0.73,0,740.39
673.916670,8.91,8.03,1.06,0.5,2,740.59
673.958330,8.98,8.17,1.06,0.42,10,741.09
674.000000,9.03,8.15,0.84,0.67,7.5,741.19
674.041670,8.88,8.01,1.11,0.61,10,741.39
674.083330,8.93,8.02,0.92,0.29,6,741.59
674.125000,8.97,8.01,1,0.49,2,741.69
674.166670,9.01,8.07,0.83,0.28,10,742.19
674.208330,8.82,7.97,1.19,0.6,10,742.29
674.250000,9.1,8.15,0.97,0.63,4.4,742.69
674.291670,9.13,8.22,0.95,0.51,7.5,743.39
674.333330,9.81,8.51,0.43,1.16,10,743.69
674.375000,10.47,8.7,0.86,2.13,10,744.19
674.416670,10.89,8.89,1.3,2.4,10,744.19
674.458330,11.65,9.04,0.85,2.25,10,743.99
674.500000,12.28,9.1,0.54,2.39,10,743.59
674.541670,12.8,9.53,0.81,2.4,10,743.39
674.583330,13.11,9.88,1.22,2.27,10,743.39
674.625000,13.02,10.23,0.94,0.84,10,743.39
674.666670,12.66,10.56,0.84,0.55,7.5,743.49
674.708330,12.03,10.36,1.25,0.46,10,743.79
674.750000,11.95,10.29,0.72,0.32,10,743.99
674.791670,11.76,10.13,1.22,0.33,7.5,743.79
674.833330,10.76,9.53,1.32,0.39,0,743.69
674.875000,10.62,9.52,1.02,0.44,0,743.49
674.916670,10.73,9.61,0.94,0.86,0,743.69
674.958330,11.12,9.83,0.96,0.64,0,743.49
675.000000,10.77,9.72,1.27,0.62,2,743.59
675.041670,10.18,9.19,1.21,0.47,0,743.39
675.083330,10.05,9.2,1.22,0.46,0,743.09
675.125000,10.44,9.59,0.91,0.46,7.5,742.69
675.166670,10.74,9.75,0.7,0.53,10,742.39
675.208330,10.77,9.73,0.9,0.53,10,742.29
675.250000,10.81,9.6,1.52,0.38,2,742.29
675.291670,10.83,9.4,1.23,0.38,10,742.59
675.333330,10.78,9.2,1.75,0.17,2,743.09
675.375000,11.43,9.63,0.73,4.14,0,742.79
675.416670,11.55,9.7,0.9,4.44,0,742.99
675.458330,12.03,10.02,1.16,2.2,0,742.59
675.500000,12.71,10.33,0.79,3.26,0,742.09
675.541670,13.07,10.37,0.7,2.36,0,741.89
675.583330,13.75,10.71,0.51,3.95,0,741.39
675.625000,14.14,10.96,1.05,2.47,0,741.29
675.666670,13.78,11.07,0.96,0.34,0,741.29
675.708330,12.61,11.17,0.93,0.29,0,741.29
675.750000,12.71,11.23,0.41,6.05,0,741.59
675.791670,12.67,11.21,0.47,1.36,10,741.49
675.833330,11.63,10.56,0.96,0.46,0,741.19
675.875000,11.15,10.46,0.54,0.87,0,741.39
675.916670,11.28,10.47,0.29,0.12,0,741.19
675.958330,11.46,10.58,0.82,0.69,0,741.19
676.000000,11.52,10.47,0.59,0.46,0,740.99
676.041670,11.57,10.47,1.39,1.17,0,740.89
676.083330,11.4,10.46,0.89,0.93,0,740.89
676.125000,11.44,10.27,0.73,1.03,0,740.69
676.166670,11.18,9.87,0.77,0.58,0,740.49
676.208330,10.61,9.42,1.92,0.3,0,740.29
676.250000,10.58,9.1,1.59,0.16,0,739.99
676.291670,10.56,8.92,1.65,0.34,2,739.79
676.333330,10.68,8.93,1.6,0.7,0,739.79
676.375000,11.56,9.35,1.19,1.26,2,739.39
676.416670,13.08,9.68,1.77,2.13,0,738.59
676.458330,13.82,9.84,2.42,2.36,0,737.59
676.500000,14.65,10.21,2.35,2.67,0,736.39
676.541670,15.21,10.44,2.24,2.84,0,735.49
676.583330,14.77,10.66,2.39,2.46,0,734.69
676.625000,14.37,10.64,2.59,2.3,0,734.09
676.666670,13.71,10.71,1.25,1.11,0,733.49
676.708330,12.1,10.31,1.55,0.41,0,733.39
676.750000,11.42,10.01,1.55,0.37,0,733.29
676.791670,10.81,9.54,1.35,0.62,0,732.99
676.833330,10.21,9.28,1.35,0.37,0,733.19
676.875000,10.31,9.35,0.98,0.77,0,733.29
676.916670,10.84,9.76,0.72,0.96,4.4,733.29
676.958330,11.02,9.88,1.1,0.42,10,733.59
677.000000,11.23,9.9,0.53,0.32,10,733.59
677.041670,10.9,10.09,1.74,1.81,7.5,733.39
677.083330,10.77,9.86,1.5,1.18,10,733.29
677.125000,10.48,9.79,1.22,0.78,10,733.19
677.166670,10.58,9.91,0.76,1.34,10,733.09
677.208330,10.79,10.08,0.6,0.7,10,733.39
677.250000,10.72,9.65,1.19,0.45,10,733.89
677.291670,9.96,7.4,1.65,0.17,10,734.99
677.333330,8.32,7.36,1.61,0.58,10,735.69
677.375000,8.28,5.31,2.03,0.18,10,736.29
677.416670,8.71,4.78,1.71,0,2,736.89
677.458330,10.55,4.24,1.71,4.48,7.5,736.89
677.500000,9.76,4.13,2.05,0.18,4.4,736.49
677.541670,10.86,2.7,1.23,4.54,10,736.39
677.583330,10.76,1.18,2.71,4.47,10,736.69
677.625000,10.61,1.65,2.55,4.18,10,736.79
677.666670,9.04,3.48,1.5,0.31,2,736.89
677.708330,6.46,3.12,1.6,0.34,4.4,737.09
677.750000,4.96,2.54,1.93,0.46,2,737.09
677.791670,3.84,1.95,2.13,0.51,0,736.89
677.833330,3.32,1.67,2.19,0.5,0,736.59
677.875000,2.49,1.25,2.07,0.67,0,736.39
677.916670,2.72,1.33,2.42,0.4,0,735.79
677.958330,2.93,1.33,2.63,0.41,0,735.29
678.000000,3.39,1.03,2.34,0.26,0,734.89
678.041670,2.98,0.71,2.36,0.01,10,733.99
678.083330,3.05,0.69,0.96,6.2,0,733.49
678.125000,2.07,0.29,2.25,0.23,0,732.69
678.166670,1.87,0.3,1.95,0.28,0,732.29
678.208330,1.95,0.4,1.85,0.3,2,731.19
678.250000,1.83,0.18,1.27,0.21,0,730.89
678.291670,2.32,0.69,1.17,0.33,4.4,730.19
678.333330,2.76,0.91,1.27,0.24,7.5,729.69
678.375000,3.62,1.46,0.58,0.84,10,729.29
678.416670,3.55,1.05,1.66,0.1,10,728.49
678.458330,4.01,1.9,0.56,0.01,10,728.49
678.500000,3.87,2.13,0.95,0.14,10,728.19
678.541670,3.96,2.25,1.02,0.56,10,727.89
678.583330,4.11,2.52,0.46,0.7,10,727.89
678.625000,4.01,2.73,1.12,0.26,10,727.79
678.666670,3.88,2.82,1.54,6.24,10,727.79
678.708330,4.06,2.45,2.48,4.15,10,728.59
678.750000,3.18,1.83,0.98,0.95,10,728.59
678.791670,2.67,1.85,1.01,0.44,10,728.89
678.833330,3.08,2.02,0.94,0.51,10,729.19
678.875000,2.41,1.51,1.53,0.86,10,729.49
678.916670,2.51,1.67,1.01,0.38,10,729.49
678.958330,2.74,1.87,0.96,0.87,10,729.49
679.000000,2.9,1.93,1.04,0.61,10,729.69
679.041670,2.51,1.7,1.42,0.47,10,729.69
679.083330,2.65,1.98,1.37,0.69,10,729.79
679.125000,2.91,2.04,1.86,0.07,10,729.79
679.166670,2.7,1.93,1.44,0.51,10,730.09
679.208330,2.82,1.88,1.9,0.25,10,730.19
679.250000,2.51,1.85,1.31,0.43,10,730.49
679.291670,1.89,0.82,1.99,6.17,10,730.89
679.333330,1.55,0.82,1.52,0.28,10,731.19
679.375000,2.23,1.46,1.34,0.22,7.5,731.29
679.416670,3.21,0.87,0.89,5.85,4.4,731.49
679.458330,3.62,0.47,2.57,4.03,4.4,731.29
679.500000,3.83,0.13,1.98,4.36,10,731.09
679.541670,4.26,0.03,1.06,5.92,10,730.99
679.583330,3.88,-0.31,0.97,5.17,10,730.79
679.625000,4.08,0.63,0.51,6.27,10,730.89
679.666670,3.28,1.18,1.24,5.69,10,730.89
679.708330,2.27,0.86,1.83,0.48,10,731.29
679.750000,1.85,0.7,1.9,0.52,2,731.69
679.791670,1.5,0.35,1.9,0.37,10,731.99
679.833330,1.38,0.36,1.83,0.23,10,732.09
679.875000,1.22,0.18,2.2,0.35,4.4,732.29
679.916670,1.15,-0.2,2.67,0.34,2,732.29
679.958330,1.18,-0.37,2.32,0.24,10,732.29
680.000000,0.98,-0.35,2.23,0.3,10,732.39
680.041670,0.91,-0.76,2.86,0.24,10,732.49
680.083330,0.81,-0.71,2.16,0.32,10,732.89
680.125000,0.78,-0.76,1.34,0.59,0,732.89
680.166670,0.76,-0.7,1.98,0.28,10,733.19
680.208330,0.76,-1.3,2.24,0.27,0,733.59
680.250000,0.73,-0.95,2.08,0.36,0,733.79
680.291670,0.85,-0.62,2.01,0.3,0,734.19
680.333330,1.28,-1.17,1.53,0.07,7.5,734.49
680.375000,2.1,-2.17,1.9,4.48,7.5,734.99
680.416670,1.88,-2.06,2.37,4.27,7.5,735.59
680.458330,1.81,-1.92,2.18,4.54,2,735.69
680.500000,1.96,-2,2.82,4.09,0,735.79
680.541670,2.38,-2.37,3.6,4.12,7.5,735.89
680.583330,2.78,-2.82,3.94,4.19,10,736.29
680.625000,2.82,-2.88,2.91,4.55,10,736.99
680.666670,2.33,-4.3,2.09,5.32,10,737.59
680.708330,1.37,-4.38,1.68,6.07,10,738.19
680.750000,-0.14,-3.5,1.65,6.22,2,738.89
680.791670,-0.82,-3.33,2.3,0.31,10,739.29
680.833330,-1.42,-3.28,2.35,0.5,0,739.69
680.875000,-1.8,-4.13,2.19,0.42,0,739.89
680.916670,-1.61,-3.77,2.21,0.37,0,740.39
680.958330,-1.53,-3.77,2.32,0.23,4.4,740.79
681.000000,-1.77,-4.22,2.78,0.33,10,741.29
681.041670,-1.81,-4.77,2.43,0.24,10,741.59
681.083330,-1.77,-4.48,2.65,0.14,10,742.09
681.125000,-1.65,-4.43,2.24,0.13,10,742.19
681.166670,-1.62,-4.3,2.28,0.21,7.5,742.49
681.208330,-1.5,-4.2,2.3,0.37,7.5,742.89
681.250000,-1.28,-3.86,1.85,0.37,0,743.19
681.291670,-1.01,-3.46,1.94,0.32,0,743.49
681.333330,-0.61,-3.02,1.74,0.24,0,743.69
681.375000,1.06,-2.79,0.87,0.52,0,743.79
681.416670,2.18,-2.18,1.63,4.36,10,743.99
681.458330,2.4,-2.52,1.16,4.4,10,743.99
681.500000,3.03,-3.15,0.54,1.08,10,743.89
681.541670,3.04,-3.55,1.2,1.79,10,743.79
681.583330,3.19,-2.72,0.6,1.47,7.5,743.89
681.625000,2.82,-2.18,1.3,0.83,10,744.09
681.666670,2.52,-1.61,2.01,0.34,10,744.19
681.708330,2.08,-1.3,1.89,0.37,10,744.29
681.750000,1.5,-1.21,1.77,0.77,10,744.39
681.791670,2.06,-0.71,1.81,2.03,10,744.29
681.833330,1.97,-0.62,1.27,1.56,10,744.49
681.875000,2.21,-0.71,1.48,1.79,10,744.49
681.916670,1.28,-0.86,0.88,0.88,2,744.49
681.958330,1.34,-0.96,1.15,1.02,0,744.49
682.000000,0.28,-1.46,1.93,0.48,7.5,744.49
682.041670,0.33,-1.4,1.81,0.63,7.5,744.19
682.083330,0.73,-1.51,1.4,0.68,10,744.39
682.125000,0.9,-1.37,1.54,0.79,10,744.09
682.166670,1,-1.41,1.21,0.48,10,743.89
682.208330,1.21,-1.11,1.1,1.12,10,743.69
682.250000,1.3,-1.05,1,0.98,10,743.29
682.291670,1.29,-1.16,0.92,0.62,10,743.59
682.333330,0.86,-0.54,1.57,0.37,10,743.49
682.375000,0.81,-0.1,1.04,0.64,10,743.39
682.416670,1.61,0.65,0.55,0.65,10,743.29
682.458330,1.92,0.65,1.07,0.27,10,743.09
682.500000,1.86,0.89,0.92,0.31,10,742.79
682.541670,1.85,1.03,1.13,0.61,10,742.59
682.583330,2.01,1.14,0.95,0.44,10,742.39
682.625000,2.04,1.23,0.99,0.84,10,742.19
682.666670,1.9,0.96,1.76,0.37,10,742.09
682.708330,1.91,0.95,1.65,0.45,10,742.09
682.750000,1.85,1.12,1.36,0.4,10,742.09
682.791670,1.97,1.07,1.85,0.39,10,742.29
682.833330,2.12,1.37,1.42,0.39,10,742.49
682.875000,2.21,1.52,1.2,0.17,10,742.89
682.916670,2.25,1.65,1.51,0.36,10,743.09
682.958330,2.28,1.53,1.72,0.5,10,743.09
683.000000,2.45,1.66,1.38,0.23,10,743.29
683.041670,2.59,1.94,1.15,0.74,10,743.29
683.083330,2.49,1.73,1.51,0.26,10,743.59
683.125000,2.46,1.75,1.31,0.66,10,743.39
683.166670,2.49,1.71,1.59,0.3,10,743.39
683.208330,2.48,1.68,1.59,0.36,10,743.19
683.250000,2.41,1.56,1.9,0.47,10,743.19
683.291670,2.36,1.65,1.29,0.39,4.4,742.99
683.333330,2.93,2.15,1.02,0.7,10,743.19
683.375000,3.52,2.33,1,0.05,10,743.19
683.416670,4.26,2.87,0.97,2.55,10,743.19
683.458330,4.53,2.99,1.28,0.93,10,742.59
683.500000,5.08,3.19,0.36,4.93,10,741.99
683.541670,5.12,3.23,2.39,2.71,7.5,741.49
683.583330,5.09,3.18,1.23,2.11,4.4,741.19
683.625000,5.23,3.39,2.35,2.36,7.5,741.09
683.666670,4.57,2.81,1.76,2.03,10,740.79
683.708330,4.16,2.64,1.12,1.64,10,740.59
683.750000,3.85,2.78,0.96,1.38,4.4,740.59
683.791670,3.44,2.13,1.15,0.84,4.4,740.49
683.833330,3.33,2.62,0.99,0.68,10,740.69
683.875000,3.52,2.52,0.45,0.56,7.5,740.69
683.916670,3.3,2.32,1.29,0.6,10,740.69
683.958330,3.2,2.1,1.37,0.44,10,740.69
684.000000,2.92,2.03,1.73,0.56,10,740.89
684.041670,2.92,2.18,1.6,0.4,10,740.99
684.083330,3.1,2.23,1.33,0.45,10,740.89
684.125000,3.17,2.49,1.5,0.47,10,740.79
684.166670,3,2.27,1.4,0.66,10,740.69
684.208330,3.1,2.4,1.29,0.49,10,740.89
684.250000,3.13,2.31,1.33,0.36,10,740.89
684.291670,3.22,2.51,1.3,0.44,10,741.39
684.333330,3.43,2.76,1,0.45,10,741.79
684.375000,3.89,2.93,0.93,0.32,10,742.19
684.416670,4.41,3.41,0.84,1.04,10,742.29
684.458330,4.79,3.63,0.57,0.48,10,742.29
684.500000,5.06,3.89,0.51,1.25,10,742.29
684.541670,5.25,4.17,1.01,1.47,10,742.29
684.583330,5.06,3.71,1.31,1.09,10,742.29
684.625000,5.05,3.97,0.74,1.39,10,742.59
684.666670,5.17,3.94,0.85,1.29,7.5,742.69
684.708330,5.03,4.15,1.21,1.48,10,742.89
684.750000,4.93,3.83,0.96,1.42,10,743.19
684.791670,4.82,4.02,1.1,1.49,10,743.49
684.833330,4.75,3.88,1.06,0.79,10,743.59
684.875000,4.63,3.88,0.67,1.35,10,743.79
684.916670,4.6,3.42,1.32,1.37,10,743.79
684.958330,4.47,3.54,0.97,1.39,7.5,743.79
685.000000,4.44,3.1,1.41,1.91,2,743.69
685.041670,4.26,2.98,1.3,1.45,7.5,743.69
685.083330,3.81,2.86,1.3,1.1,0,743.69
685.125000,3.39,2.53,1.88,0.85,0,743.49
685.166670,3.7,2.37,1.7,0.93,2,743.29
685.208330,3.88,2.45,1.22,1.4,0,742.99
685.250000,3.83,1.95,1.91,1.87,0,742.89
685.291670,3.58,2.37,1.14,0.94,0,742.79
685.333330,3.8,2.23,1.27,1.52,0,742.69
685.375000,4.31,2.41,2.06,2.37,0,742.39
685.416670,4.51,2.38,1.89,2.15,0,741.99
685.458330,4.73,2.4,2.7,2.28,0,740.79
685.500000,6.16,3.27,3.99,2.59,0,739.69
685.541670,6.32,3.21,4.34,2.72,0,739.09
685.583330,6.51,3.38,4.38,2.36,0,738.59
685.625000,5.75,3.21,4.42,2.34,0,737.89
685.666670,4.92,3.15,4.75,2.31,0,737.29
685.708330,4.85,3.06,3.22,2.01,0,736.99
685.750000,4.45,2.66,1.63,1.18,2,736.69
685.791670,4.08,2.71,1.1,0.96,0,736.79
685.833330,4.36,2.75,1.33,1,0,736.79
685.875000,4.33,2.56,1.26,1.36,0,736.69
685.916670,4.43,2.15,1.47,0.97,0,736.69
685.958330,4.22,2.16,1.05,0.89,0,736.69
