Constituent,Julian_day,Seg_2  ,Seg_3  ,Seg_4  ,Seg_5  ,Seg_6  ,Seg_7  ,Seg_8  ,Seg_9  ,Seg_10 ,Seg_11 ,Seg_12 ,Seg_13 ,Seg_14 ,Seg_15 ,Seg_16 ,Seg_17 ,Seg_18 ,Seg_19 ,Seg_20 ,Seg_21 ,Seg_22 ,Seg_23 ,Seg_24 ,Seg_25 ,Seg_26 ,Seg_27 ,Seg_28 ,Seg_29 ,
Temperature, 41525.000,    18.940,    18.919,    18.889,    18.867,    18.887,    18.933,    18.891,    18.826,    18.780,    18.765,    18.749,    18.744,    18.807,    18.847,    18.862,    18.866,    18.870,    18.867,    18.870,    18.930,    18.928,    18.886,    18.909,    18.882,    18.837,    18.839,    18.834,    18.814,
N2                                    , 41525.000,    15.308,    14.871,    15.284,    15.262,    15.258,    15.109,    15.235,    15.165,    15.078,    15.011,    14.945,    14.929,    14.974,    15.024,    15.050,    15.090,    15.130,    15.102,    15.060,    15.031,    15.041,    15.066,    15.086,    15.264,    15.392,    15.437,    15.495,    15.594,
Dissolved_oxygen                      , 41525.000,     9.166,     8.900,     9.144,     9.130,     9.129,     9.035,     9.101,     9.048,     8.989,     8.943,     8.901,     8.895,     8.925,     8.957,     8.975,     9.000,     9.024,     9.007,     8.976,     8.948,     8.919,     8.897,     8.917,     8.980,     9.039,     9.077,     9.132,     9.194,
Oxyg                                  , 41525.000,   102.904,    99.858,   102.548,   102.437,   102.524,   101.378,   101.981,   101.293,   100.598,   100.051,    99.581,    99.641,   100.062,   100.465,   100.678,   100.950,   101.222,   101.028,   100.758,   100.521,   100.166,    99.795,   100.180,   100.709,   101.299,   101.744,   102.360,   102.979,
TDG(                                  , 41525.000,   103.746,   100.716,   103.459,   103.348,   103.421,   102.313,   103.011,   102.422,   101.787,   101.298,   100.831,   100.862,   101.265,   101.658,   101.838,   102.124,   102.381,   102.249,   102.146,   101.929,   101.905,   101.977,   102.333,   103.323,   104.073,   104.378,   104.787,   105.293,
Temperature, 41526.000,    18.990,    18.962,    18.928,    18.894,    18.900,    18.943,    18.922,    18.873,    18.837,    18.827,    18.805,    18.764,    18.716,    18.699,    18.719,    18.734,    18.760,    18.793,    18.816,    18.850,    18.866,    18.852,    18.865,    18.868,    18.829,    18.819,    18.807,    18.778,
N2                                    , 41526.000,    15.412,    14.959,    15.364,    15.333,    15.309,    15.139,    15.279,    15.260,    15.245,    15.229,    15.203,    15.081,    14.985,    14.937,    14.925,    14.932,    14.957,    15.022,    15.047,    15.028,    15.046,    15.075,    15.016,    15.149,    15.246,    15.313,    15.375,    15.543,
Dissolved_oxygen                      , 41526.000,     9.225,     8.948,     9.185,     9.164,     9.151,     9.049,     9.129,     9.113,     9.103,     9.089,     9.065,     8.979,     8.914,     8.886,     8.880,     8.884,     8.903,     8.945,     8.965,     8.962,     8.930,     8.909,     8.890,     8.918,     8.952,     9.000,     9.049,     9.150,
Oxyg                                  , 41526.000,   103.911,   100.723,   103.318,   103.102,   103.052,   101.852,   102.654,   102.404,   102.268,   102.064,   101.701,   100.642,    99.885,    99.613,    99.582,    99.667,    99.970,   100.469,   100.755,   100.781,   100.439,   100.127,   100.044,   100.248,   100.537,   101.075,   101.606,   102.649,
TDG(                                  , 41526.000,   104.699,   101.544,   104.215,   104.009,   103.942,   102.744,   103.588,   103.377,   103.254,   103.095,   102.809,   101.859,   101.166,   100.896,   100.856,   100.957,   101.203,   101.702,   101.961,   101.887,   101.957,   102.048,   101.856,   102.564,   103.088,   103.535,   103.952,   104.958,
Temperature, 41527.000,    19.020,    18.999,    18.977,    18.968,    18.997,    19.050,    19.018,    18.939,    18.875,    18.865,    18.842,    18.809,    18.789,    18.736,    18.699,    18.676,    18.664,    18.671,    18.703,    18.764,    18.784,    18.789,    18.807,    18.821,    18.815,    18.815,    18.810,    18.787,
N2                                    , 41527.000,    15.162,    14.765,    15.200,    15.218,    15.249,    15.169,    15.352,    15.333,    15.293,    15.260,    15.249,    15.222,    15.175,    15.119,    15.094,    15.036,    14.967,    14.935,    14.968,    14.997,    15.026,    15.093,    15.044,    15.094,    15.156,    15.212,    15.214,    15.325,
Dissolved_oxygen                      , 41527.000,     9.068,     8.826,     9.086,     9.097,     9.116,     9.066,     9.170,     9.152,     9.125,     9.102,     9.095,     9.075,     9.037,     8.996,     8.978,     8.937,     8.895,     8.875,     8.893,     8.932,     8.924,     8.901,     8.903,     8.898,     8.909,     8.952,     8.961,     9.027,
Oxyg                                  , 41527.000,   102.354,    99.583,   102.487,   102.674,   103.010,   102.375,   103.372,   103.028,   102.705,   102.404,   102.256,   101.984,   101.452,   100.914,   100.667,   100.167,    99.741,    99.560,    99.871,   100.394,   100.348,   100.034,   100.185,   100.099,   100.172,   100.649,   100.740,   101.406,
TDG(                                  , 41527.000,   103.244,   100.485,   103.423,   103.603,   103.926,   103.310,   104.380,   104.098,   103.798,   103.539,   103.387,   103.164,   102.726,   102.293,   102.060,   101.634,   101.264,   101.185,   101.486,   101.774,   101.972,   102.265,   102.147,   102.389,   102.684,   103.061,   103.065,   103.672,
Temperature, 41528.000,    19.040,    19.024,    19.007,    19.005,    19.037,    19.089,    19.062,    19.007,    18.975,    18.966,    18.941,    18.894,    18.853,    18.804,    18.772,    18.755,    18.738,    18.714,    18.682,    18.698,    18.710,    18.726,    18.756,    18.771,    18.781,    18.798,    18.808,    18.798,
N2                                    , 41528.000,    15.003,    14.593,    15.008,    15.014,    15.028,    14.912,    15.100,    15.153,    15.220,    15.277,    15.307,    15.270,    15.235,    15.210,    15.203,    15.181,    15.153,    15.084,    14.986,    14.967,    14.984,    15.005,    15.041,    15.092,    15.125,    15.139,    15.127,    15.181,
Dissolved_oxygen                      , 41528.000,     8.979,     8.730,     8.976,     8.979,     8.987,     8.911,     9.015,     9.043,     9.081,     9.111,     9.126,     9.099,     9.074,     9.056,     9.052,     9.033,     9.013,     8.966,     8.897,     8.891,     8.902,     8.859,     8.894,     8.894,     8.888,     8.910,     8.922,     8.955,
Oxyg                                  , 41528.000,   101.361,    98.524,   101.290,   101.389,   101.586,   100.670,   101.740,   101.994,   102.400,   102.688,   102.750,   102.355,   101.982,   101.722,   101.640,   101.380,   101.126,   100.507,    99.737,    99.761,    99.944,    99.423,    99.955,    99.952,    99.874,   100.148,   100.286,   100.599,
TDG(                                  , 41528.000,   102.076,    99.249,   102.057,   102.162,   102.355,   101.499,   102.653,   102.951,   103.378,   103.711,   103.804,   103.467,   103.166,   102.958,   102.856,   102.695,   102.469,   101.997,   101.379,   101.317,   101.494,   101.510,   101.916,   102.228,   102.354,   102.479,   102.416,   102.636,
Temperature, 41529.000,    19.020,    19.012,    19.007,    19.014,    19.058,    19.123,    19.103,    19.043,    19.011,    19.027,    19.025,    18.984,    18.967,    18.915,    18.868,    18.835,    18.826,    18.801,    18.772,    18.734,    18.696,    18.694,    18.729,    18.738,    18.744,    18.764,    18.780,    18.776,
N2                                    , 41529.000,    14.966,    14.535,    14.935,    14.924,    14.920,    14.789,    14.962,    14.983,    15.007,    15.036,    15.083,    15.182,    15.242,    15.259,    15.262,    15.241,    15.214,    15.204,    15.121,    15.028,    14.980,    14.990,    14.978,    15.025,    15.122,    15.148,    15.117,    15.134,
Dissolved_oxygen                      , 41529.000,     8.949,     8.693,     8.934,     8.928,     8.927,     8.843,     8.938,     8.945,     8.955,     8.967,     8.989,     9.044,     9.075,     9.083,     9.083,     9.067,     9.051,     9.042,     8.981,     8.921,     8.898,     8.884,     8.867,     8.860,     8.875,     8.897,     8.902,     8.913,
Oxyg                                  , 41529.000,   101.089,    98.185,   100.922,   100.951,   101.076,   100.079,   101.028,   101.051,   101.192,   101.318,   101.497,   102.073,   102.316,   102.313,   102.255,   102.036,   101.831,   101.637,   100.847,   100.159,    99.920,    99.725,    99.695,    99.585,    99.748,   100.029,   100.117,   100.202,
TDG(                                  , 41529.000,   101.904,    98.964,   101.706,   101.720,   101.824,   100.880,   101.921,   101.994,   102.171,   102.373,   102.585,   103.265,   103.549,   103.635,   103.540,   103.417,   103.206,   103.133,   102.524,   101.872,   101.614,   101.647,   101.670,   101.944,   102.504,   102.709,   102.548,   102.481,
Temperature, 41530.000,    18.890,    18.879,    18.869,    18.880,    18.949,    19.029,    19.042,    19.015,    19.035,    19.065,    19.058,    19.041,    19.026,    18.993,    18.966,    18.948,    18.938,    18.905,    18.876,    18.820,    18.758,    18.708,    18.720,    18.740,    18.726,    18.732,    18.740,    18.729,
N2                                    , 41530.000,    15.021,    14.614,    15.041,    15.034,    15.031,    14.853,    14.964,    14.926,    14.912,    14.926,    14.941,    14.984,    15.047,    15.101,    15.127,    15.172,    15.207,    15.229,    15.201,    15.141,    15.044,    15.012,    14.971,    14.978,    15.024,    15.086,    15.099,    15.180,
Dissolved_oxygen                      , 41530.000,     8.924,     8.678,     8.931,     8.928,     8.930,     8.838,     8.919,     8.908,     8.902,     8.905,     8.909,     8.926,     8.957,     8.985,     8.999,     9.022,     9.044,     9.054,     9.027,     8.988,     8.933,     8.907,     8.883,     8.839,     8.833,     8.866,     8.888,     8.900,
Oxyg                                  , 41530.000,   100.849,    98.045,   100.922,   101.037,   101.221,   100.203,   101.058,   100.981,   100.983,   100.986,   101.010,   101.171,   101.460,   101.730,   101.858,   102.082,   102.282,   102.302,   101.853,   101.341,   100.641,   100.284,   100.191,    99.619,    99.510,    99.915,   100.179,   100.247,
TDG(                                  , 41530.000,   102.175,    99.374,   102.295,   102.380,   102.529,   101.366,   102.108,   101.921,   101.910,   101.998,   102.017,   102.314,   102.712,   103.030,   103.139,   103.448,   103.668,   103.806,   103.409,   102.959,   102.293,   102.042,   101.967,   101.894,   102.086,   102.538,   102.624,   102.888,
Temperature, 41531.000,    18.820,    18.810,    18.803,    18.809,    18.860,    18.936,    18.953,    18.922,    18.942,    18.988,    19.014,    19.035,    19.079,    19.046,    19.037,    19.029,    19.016,    18.996,    18.970,    18.924,    18.858,    18.774,    18.754,    18.757,    18.730,    18.727,    18.723,    18.701,
N2                                    , 41531.000,    14.889,    14.468,    14.887,    14.885,    14.887,    14.767,    14.965,    14.997,    15.001,    14.977,    14.935,    14.905,    14.916,    14.942,    14.955,    14.989,    15.025,    15.094,    15.167,    15.179,    15.135,    15.056,    14.974,    14.989,    14.997,    15.022,    15.011,    15.095,
Dissolved_oxygen                      , 41531.000,     8.894,     8.638,     8.883,     8.875,     8.869,     8.781,     8.882,     8.894,     8.900,     8.896,     8.888,     8.879,     8.882,     8.894,     8.900,     8.914,     8.933,     8.966,     9.000,     9.009,     8.983,     8.935,     8.885,     8.842,     8.829,     8.841,     8.864,     8.875,
Oxyg                                  , 41531.000,   100.619,    97.709,   100.492,   100.509,   100.594,    99.635,   100.721,   100.895,   101.053,   101.057,   101.013,   100.994,   100.974,   101.090,   101.149,   101.270,   101.482,   101.761,   102.018,   102.048,   101.601,   100.932,   100.500,    99.910,    99.703,    99.863,   100.094,   100.150,
TDG(                                  , 41531.000,   101.614,    98.719,   101.574,   101.647,   101.789,   100.968,   102.222,   102.467,   102.598,   102.532,   102.288,   102.299,   102.316,   102.502,   102.563,   102.757,   103.034,   103.480,   103.863,   103.816,   103.378,   102.824,   102.424,   102.404,   102.359,   102.513,   102.504,   102.763,
Temperature, 41532.000,    18.820,    18.814,    18.814,    18.824,    18.862,    18.900,    18.867,    18.832,    18.866,    18.914,    18.929,    18.951,    18.995,    19.026,    19.053,    19.062,    19.054,    19.050,    19.002,    18.982,    18.943,    18.865,    18.825,    18.769,    18.740,    18.739,    18.730,    18.702,
N2                                    , 41532.000,    14.843,    14.414,    14.839,    14.846,    14.856,    14.714,    14.867,    14.867,    14.883,    14.917,    14.962,    14.962,    14.930,    14.906,    14.894,    14.894,    14.901,    14.952,    15.036,    15.084,    15.146,    15.115,    15.000,    15.000,    15.002,    15.000,    14.990,    15.010,
Dissolved_oxygen                      , 41532.000,     8.884,     8.625,     8.877,     8.875,     8.877,     8.781,     8.864,     8.853,     8.848,     8.850,     8.864,     8.869,     8.864,     8.860,     8.858,     8.857,     8.865,     8.873,     8.917,     8.948,     8.985,     8.959,     8.885,     8.846,     8.838,     8.845,     8.859,     8.864,
Oxyg                                  , 41532.000,   100.632,    97.704,   100.575,   100.638,   100.734,    99.571,   100.444,   100.389,   100.435,   100.481,   100.684,   100.831,   100.852,   100.863,   100.867,   100.821,   100.923,   100.889,   101.314,   101.666,   101.946,   101.465,   100.627,   100.099,    99.942,   100.039,   100.159,   100.148,
TDG(                                  , 41532.000,   101.287,    98.357,   101.275,   101.382,   101.514,   100.451,   101.408,   101.458,   101.686,   101.900,   102.151,   102.345,   102.300,   102.227,   102.200,   102.181,   102.233,   102.449,   102.999,   103.313,   103.587,   103.237,   102.464,   102.397,   102.347,   102.365,   102.295,   102.268,
Temperature, 41533.000,    18.790,    18.799,    18.826,    18.875,    18.926,    18.946,    18.898,    18.868,    18.880,    18.894,    18.884,    18.882,    18.949,    18.963,    18.993,    19.002,    19.033,    19.059,    19.028,    19.023,    19.000,    18.928,    18.907,    18.818,    18.774,    18.769,    18.762,    18.738,
N2                                    , 41533.000,    14.806,    14.353,    14.757,    14.760,    14.789,    14.664,    14.826,    14.831,    14.840,    14.846,    14.848,    14.885,    14.921,    14.934,    14.936,    14.925,    14.898,    14.912,    14.936,    14.953,    15.043,    15.115,    15.059,    15.017,    14.999,    14.981,    14.983,    14.990,
Dissolved_oxygen                      , 41533.000,     8.865,     8.595,     8.839,     8.836,     8.847,     8.762,     8.851,     8.849,     8.847,     8.840,     8.830,     8.829,     8.835,     8.842,     8.846,     8.843,     8.842,     8.837,     8.856,     8.869,     8.915,     8.917,     8.895,     8.864,     8.847,     8.848,     8.862,     8.867,
Oxyg                                  , 41533.000,   100.137,    97.134,    99.992,   100.072,   100.235,    99.179,   100.127,   100.128,   100.133,   100.024,    99.916,   100.029,   100.144,   100.283,   100.355,   100.361,   100.436,   100.274,   100.446,   100.645,   101.057,   100.889,   100.598,   100.113,    99.860,    99.885,   100.011,    99.989,
TDG(                                  , 41533.000,   101.205,    98.156,   101.023,   101.135,   101.359,   100.382,   101.415,   101.496,   101.570,   101.620,   101.515,   101.985,   102.239,   102.453,   102.495,   102.516,   102.379,   102.437,   102.608,   102.707,   103.255,   103.526,   103.095,   102.789,   102.632,   102.569,   102.575,   102.479,
Temperature, 41534.000,    18.840,    18.809,    18.776,    18.743,    18.752,    18.789,    18.752,    18.739,    18.775,    18.813,    18.812,    18.799,    18.808,    18.828,    18.849,    18.860,    18.881,    18.916,    18.953,    18.965,    18.944,    18.884,    18.863,    18.824,    18.788,    18.767,    18.755,    18.736,
N2                                    , 41534.000,    14.774,    14.356,    14.782,    14.773,    14.774,    14.639,    14.788,    14.777,    14.781,    14.800,    14.817,    14.827,    14.842,    14.859,    14.868,    14.885,    14.897,    14.903,    14.907,    14.903,    14.952,    15.049,    15.063,    15.041,    15.017,    14.978,    14.977,    14.987,
Dissolved_oxygen                      , 41534.000,     8.843,     8.589,     8.842,     8.836,     8.835,     8.750,     8.835,     8.826,     8.824,     8.827,     8.830,     8.824,     8.816,     8.813,     8.813,     8.813,     8.823,     8.817,     8.818,     8.826,     8.838,     8.854,     8.880,     8.876,     8.865,     8.859,     8.868,     8.871,
Oxyg                                  , 41534.000,    99.739,    96.810,    99.591,    99.540,    99.611,    98.570,    99.506,    99.475,    99.529,    99.555,    99.573,    99.524,    99.473,    99.482,    99.500,    99.544,    99.741,    99.733,    99.754,    99.841,    99.909,    99.930,   100.234,   100.105,    99.890,    99.811,    99.892,    99.847,
TDG(                                  , 41534.000,   100.414,    97.497,   100.322,   100.276,   100.352,    99.355,   100.329,   100.321,   100.410,   100.513,   100.589,   100.649,   100.748,   100.878,   100.943,   101.080,   101.251,   101.369,   101.404,   101.386,   101.651,   102.104,   102.219,   102.021,   101.788,   101.561,   101.564,   101.509,
Temperature, 41535.000,    18.760,    18.727,    18.684,    18.650,    18.655,    18.688,    18.624,    18.545,    18.495,    18.485,    18.492,    18.526,    18.561,    18.577,    18.585,    18.591,    18.603,    18.625,    18.676,    18.723,    18.743,    18.753,    18.725,    18.724,    18.693,    18.675,    18.675,    18.675,
N2                                    , 41535.000,    14.766,    14.385,    14.819,    14.781,    14.742,    14.594,    14.759,    14.771,    14.779,    14.780,    14.775,    14.784,    14.801,    14.815,    14.820,    14.828,    14.838,    14.860,    14.878,    14.880,    14.909,    14.975,    15.023,    15.057,    15.040,    14.996,    14.974,    14.968,
Dissolved_oxygen                      , 41535.000,     8.819,     8.581,     8.837,     8.824,     8.812,     8.722,     8.816,     8.818,     8.819,     8.817,     8.812,     8.809,     8.810,     8.809,     8.808,     8.805,     8.799,     8.801,     8.802,     8.797,     8.795,     8.807,     8.854,     8.868,     8.857,     8.865,     8.873,     8.872,
Oxyg                                  , 41535.000,    99.318,    96.559,    99.367,    99.226,    99.151,    98.023,    98.915,    98.837,    98.830,    98.821,    98.832,    98.871,    98.907,    98.914,    98.920,    98.904,    98.886,    99.011,    99.112,    99.096,    99.130,    99.162,    99.717,    99.822,    99.647,    99.719,    99.828,    99.772,
TDG(                                  , 41535.000,   100.377,    97.683,   100.551,   100.319,   100.147,    99.021,    99.979,    99.950,    99.974,    99.992,   100.015,   100.124,   100.246,   100.336,   100.373,   100.430,   100.514,   100.737,   100.924,   100.963,   101.189,   101.497,   101.879,   102.053,   101.881,   101.631,   101.537,   101.453,
Temperature, 41536.000,    18.680,    18.649,    18.605,    18.557,    18.525,    18.525,    18.441,    18.390,    18.363,    18.346,    18.301,    18.253,    18.242,    18.275,    18.308,    18.327,    18.343,    18.365,    18.397,    18.426,    18.473,    18.570,    18.553,    18.587,    18.581,    18.564,    18.562,    18.567,
N2                                    , 41536.000,    14.736,    14.341,    14.781,    14.776,    14.750,    14.604,    14.775,    14.777,    14.764,    14.762,    14.773,    14.782,    14.785,    14.788,    14.790,    14.799,    14.809,    14.819,    14.851,    14.862,    14.879,    14.916,    14.975,    15.036,    15.053,    15.027,    15.004,    14.977,
Dissolved_oxygen                      , 41536.000,     8.816,     8.573,     8.828,     8.822,     8.808,     8.712,     8.804,     8.804,     8.802,     8.801,     8.805,     8.805,     8.802,     8.799,     8.798,     8.798,     8.799,     8.797,     8.790,     8.796,     8.786,     8.764,     8.808,     8.840,     8.849,     8.862,     8.872,     8.873,
Oxyg                                  , 41536.000,    98.314,    95.513,    98.257,    98.125,    97.976,    96.737,    97.662,    97.611,    97.546,    97.453,    97.404,    97.378,    97.405,    97.440,    97.469,    97.500,    97.554,    97.596,    97.579,    97.741,    97.823,    97.539,    98.110,    98.465,    98.519,    98.650,    98.781,    98.772,
TDG(                                  , 41536.000,    98.935,    96.187,    99.023,    98.917,    98.748,    97.596,    98.619,    98.577,    98.470,    98.376,    98.354,    98.378,    98.445,    98.520,    98.563,    98.640,    98.739,    98.850,    99.058,    99.219,    99.478,    99.593,   100.087,   100.485,   100.554,   100.427,   100.342,   100.181,
Temperature, 41537.000,    18.610,    18.591,    18.563,    18.532,    18.517,    18.521,    18.412,    18.319,    18.241,    18.191,    18.154,    18.138,    18.080,    18.038,    18.027,    18.033,    18.056,    18.096,    18.150,    18.181,    18.207,    18.330,    18.366,    18.436,    18.460,    18.460,    18.457,    18.460,
N2                                    , 41537.000,    14.668,    14.255,    14.673,    14.692,    14.704,    14.582,    14.756,    14.769,    14.774,    14.779,    14.779,    14.778,    14.783,    14.789,    14.792,    14.794,    14.795,    14.797,    14.823,    14.845,    14.863,    14.882,    14.928,    15.002,    15.044,    15.040,    15.030,    15.000,
Dissolved_oxygen                      , 41537.000,     8.788,     8.540,     8.788,     8.790,     8.790,     8.708,     8.802,     8.801,     8.796,     8.794,     8.793,     8.794,     8.795,     8.796,     8.797,     8.795,     8.793,     8.793,     8.786,     8.788,     8.788,     8.769,     8.778,     8.795,     8.829,     8.857,     8.872,     8.872,
Oxyg                                  , 41537.000,    98.639,    95.802,    98.512,    98.505,    98.522,    97.378,    98.247,    98.075,    97.926,    97.821,    97.777,    97.675,    97.609,    97.591,    97.615,    97.641,    97.692,    97.803,    97.790,    97.868,    98.118,    97.975,    98.215,    98.471,    98.841,    99.142,    99.321,    99.323,
TDG(                                  , 41537.000,    99.054,    96.209,    98.968,    99.044,    99.117,    98.067,    99.035,    98.952,    98.873,    98.825,    98.789,    98.678,    98.629,    98.639,    98.668,    98.716,    98.796,    98.909,    99.091,    99.263,    99.600,    99.719,   100.128,   100.626,   100.927,   100.952,   100.941,   100.776,
Temperature, 41538.000,    18.530,    18.508,    18.486,    18.470,    18.472,    18.478,    18.391,    18.335,    18.280,    18.221,    18.142,    18.070,    18.000,    17.952,    17.917,    17.908,    17.891,    17.886,    17.912,    17.970,    18.010,    18.105,    18.179,    18.282,    18.346,    18.368,    18.375,    18.376,
N2                                    , 41538.000,    14.689,    14.280,    14.692,    14.700,    14.702,    14.540,    14.681,    14.697,    14.726,    14.751,    14.770,    14.780,    14.783,    14.784,    14.784,    14.787,    14.792,    14.793,    14.801,    14.819,    14.842,    14.857,    14.888,    14.953,    15.017,    15.036,    15.036,    15.022,
Dissolved_oxygen                      , 41538.000,     8.784,     8.539,     8.783,     8.782,     8.780,     8.685,     8.769,     8.771,     8.779,     8.785,     8.786,     8.783,     8.782,     8.782,     8.783,     8.785,     8.788,     8.788,     8.781,     8.779,     8.781,     8.771,     8.773,     8.765,     8.775,     8.822,     8.861,     8.867,
Oxyg                                  , 41538.000,    99.183,    96.370,    99.094,    99.084,    99.075,    97.826,    98.659,    98.582,    98.555,    98.456,    98.324,    98.149,    98.039,    97.972,    97.963,    97.950,    97.973,    98.018,    98.057,    98.126,    98.352,    98.364,    98.602,    98.646,    98.806,    99.348,    99.785,    99.865,
TDG(                                  , 41538.000,    99.736,    96.914,    99.678,    99.719,    99.738,    98.476,    99.323,    99.315,    99.373,    99.371,    99.337,    99.247,    99.166,    99.106,    99.090,    99.074,    99.099,    99.158,    99.296,    99.474,    99.802,    99.987,   100.356,   100.810,   101.220,   101.429,   101.520,   101.460,
Temperature, 41539.000,    18.460,    18.438,    18.410,    18.383,    18.374,    18.376,    18.317,    18.289,    18.262,    18.230,    18.180,    18.137,    18.027,    17.933,    17.874,    17.857,    17.829,    17.812,    17.790,    17.781,    17.810,    17.915,    17.980,    18.108,    18.199,    18.258,    18.290,    18.300,
N2                                    , 41539.000,    14.684,    14.265,    14.692,    14.696,    14.698,    14.547,    14.698,    14.698,    14.692,    14.690,    14.700,    14.739,    14.769,    14.783,    14.786,    14.788,    14.788,    14.789,    14.795,    14.803,    14.825,    14.836,    14.867,    14.892,    14.957,    15.008,    15.021,    15.026,
Dissolved_oxygen                      , 41539.000,     8.775,     8.522,     8.774,     8.771,     8.767,     8.674,     8.764,     8.762,     8.759,     8.756,     8.760,     8.769,     8.774,     8.775,     8.775,     8.773,     8.773,     8.777,     8.778,     8.775,     8.777,     8.766,     8.772,     8.769,     8.734,     8.749,     8.804,     8.841,
Oxyg                                  , 41539.000,    98.738,    95.838,    98.618,    98.566,    98.523,    97.354,    98.308,    98.237,    98.135,    98.006,    97.956,    97.838,    97.704,    97.596,    97.561,    97.492,    97.454,    97.454,    97.445,    97.471,    97.713,    97.703,    98.055,    98.197,    97.912,    98.144,    98.799,    99.219,
TDG(                                  , 41539.000,    99.595,    96.695,    99.530,    99.529,    99.535,    98.390,    99.359,    99.303,    99.203,    99.090,    99.067,    99.089,    99.078,    99.042,    99.026,    98.978,    98.945,    98.917,    98.933,    99.027,    99.371,    99.531,    99.988,   100.272,   100.640,   101.006,   101.229,   101.347,
Temperature, 41540.000,    18.420,    18.396,    18.368,    18.335,    18.321,    18.330,    18.262,    18.213,    18.173,    18.150,    18.121,    18.108,    18.048,    17.973,    17.905,    17.879,    17.824,    17.780,    17.748,    17.677,    17.651,    17.722,    17.800,    17.954,    18.040,    18.113,    18.169,    18.194,
N2                                    , 41540.000,    14.642,    14.218,    14.652,    14.659,    14.666,    14.527,    14.691,    14.699,    14.703,    14.706,    14.700,    14.698,    14.714,    14.735,    14.746,    14.765,    14.782,    14.789,    14.796,    14.798,    14.810,    14.828,    14.862,    14.867,    14.887,    14.939,    14.972,    15.014,
Dissolved_oxygen                      , 41540.000,     8.750,     8.496,     8.752,     8.754,     8.756,     8.666,     8.757,     8.755,     8.753,     8.752,     8.749,     8.748,     8.752,     8.757,     8.760,     8.764,     8.768,     8.767,     8.769,     8.770,     8.774,     8.766,     8.768,     8.776,     8.765,     8.733,     8.733,     8.744,
Oxyg                                  , 41540.000,    97.975,    95.066,    97.875,    97.864,    97.900,    96.762,    97.682,    97.576,    97.512,    97.444,    97.385,    97.249,    97.142,    97.062,    97.045,    96.982,    96.936,    96.867,    96.748,    96.706,    96.889,    96.953,    97.307,    97.562,    97.558,    97.325,    97.395,    97.566,
TDG(                                  , 41540.000,    98.933,    96.012,    98.872,    98.890,    98.946,    97.864,    98.859,    98.821,    98.794,    98.750,    98.687,    98.561,    98.511,    98.503,    98.518,    98.525,    98.537,    98.515,    98.417,    98.382,    98.592,    98.835,    99.369,    99.587,    99.778,   100.075,   100.305,   100.581,
Temperature, 41541.000,    18.310,    18.296,    18.278,    18.262,    18.256,    18.258,    18.178,    18.122,    18.081,    18.051,    18.012,    17.983,    17.944,    17.907,    17.869,    17.855,    17.812,    17.766,    17.721,    17.602,    17.532,    17.558,    17.616,    17.810,    17.906,    17.968,    18.018,    18.047,
N2                                    , 41541.000,    14.673,    14.260,    14.679,    14.672,    14.661,    14.507,    14.663,    14.676,    14.690,    14.702,    14.713,    14.715,    14.713,    14.714,    14.715,    14.725,    14.741,    14.766,    14.798,    14.807,    14.808,    14.827,    14.868,    14.878,    14.876,    14.889,    14.893,    14.942,
Dissolved_oxygen                      , 41541.000,     8.675,     8.435,     8.695,     8.708,     8.719,     8.643,     8.739,     8.744,     8.748,     8.748,     8.748,     8.746,     8.743,     8.743,     8.743,     8.746,     8.752,     8.758,     8.764,     8.767,     8.770,     8.768,     8.773,     8.773,     8.776,     8.775,     8.784,     8.661,
Oxyg                                  , 41541.000,    96.538,    93.833,    96.691,    96.830,    96.957,    95.949,    96.909,    96.883,    96.861,    96.789,    96.730,    96.622,    96.523,    96.446,    96.424,    96.370,    96.342,    96.313,    96.148,    96.038,    96.121,    96.213,    96.689,    96.868,    96.995,    97.094,    97.272,    95.958,
TDG(                                  , 41541.000,    98.085,    95.300,    98.098,    98.080,    98.050,    96.906,    97.849,    97.852,    97.879,    97.871,    97.873,    97.804,    97.715,    97.650,    97.629,    97.608,    97.617,    97.677,    97.632,    97.550,    97.611,    97.831,    98.505,    98.739,    98.838,    98.999,    99.101,    99.121,
Temperature, 41542.000,    18.090,    18.069,    18.045,    18.029,    18.035,    18.056,    18.014,    17.998,    17.976,    17.945,    17.896,    17.862,    17.805,    17.767,    17.740,    17.737,    17.716,    17.703,    17.671,    17.544,    17.445,    17.425,    17.425,    17.658,    17.759,    17.818,    17.862,    17.878,
N2                                    , 41542.000,    14.626,    14.218,    14.626,    14.632,    14.641,    14.523,    14.683,    14.680,    14.673,    14.677,    14.688,    14.711,    14.723,    14.727,    14.726,    14.725,    14.722,    14.736,    14.772,    14.800,    14.810,    14.830,    14.871,    14.882,    14.882,    14.888,    14.874,    14.853,
Dissolved_oxygen                      , 41542.000,     8.720,     8.466,     8.693,     8.677,     8.662,     8.574,     8.678,     8.702,     8.721,     8.732,     8.739,     8.742,     8.742,     8.741,     8.740,     8.739,     8.740,     8.738,     8.754,     8.761,     8.766,     8.769,     8.778,     8.775,     8.775,     8.770,     8.784,     8.719,
